Item Number,Part Name,Quantity of product,Website,Price(CAD),Source
1,Stacking Header Set for Raspberry Pi Pico,1,PiShop,$2.45,https://www.pishop.ca/product/stacking-header-set-for-raspberry-pi-pico/
2,Raspberry Pi Pico 2,1,PiShop,$6.95,https://www.pishop.ca/product/raspberry-pi-pico-2/
3,0.91 Inch White OLED Display Module I2C Interface,1,PiShop,$5.95,https://www.pishop.ca/product/0-91-inch-white-oled-display-module-i2c-interface/
4,EC11E15244G1 / EC11 Rotary Encoder Switch,1,DigiKey,$7.81,https://www.digikey.ca/en/products/detail/alps-alpine/EC11E15244G1/21721550
5,Gateron Milky Yellow Pro V2 Pre-lubed 5-Pin 50gf Linear Switches for All MX Mechanical Keyboard Game Keyboard,90,Amazon,$39.35,https://www.amazon.ca/Pro-Pre-lubed-Switches-Mechanical-Keyboard/dp/B0D17H6QFN/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1
6,Chanzon 1N4148 Small Signal Fast Switching Diodes High-Speed Axial 200mA 100V DO-35,100,Amazon,$8.99,https://www.amazon.ca/100-Pieces-1N4148-Switching-High-Speed/dp/B079KJ91JZ/ref=sr_1_6?crid=3C8XP4FCW8VEZ&dib=eyJ2IjoiMSJ9.NqZBnqLQlwiLsNiGTqe1EmgDptqGEWdDyfbR-g-0ljUrCzupRW6IkMP8PDNfdPbF7hlOan-8miDilwOpo3TtkfyFqTD8OVtrefkEijpVNXUIeyEp3mWeN5QOwoGTP3zb27P3GyNd67ucEHW0RiOA1_yC71G5REinaTbx05ait795F8PczoZhrZlUH1BaZagxYbW72RVFfA5a7DcAt-C5z2t5pT6klhlUVWBzmLJyFod2juMlrmP8Anf1S5_igWHWInTBGzl2cwRCZj9K6u2dkQdPpPytWXzw01z6Zax6KL4.8G8PitAh7SEvsyC0c_67FSbXRftVpLsL3oip9JY-KaI&dib_tag=se&keywords=1N4148%2BThrough-Hole&qid=1786297125&sprefix=1n4148%2Bthrough-hole%2Caps%2C130&sr=8-6&th=1
7,PCB,1,JLCPBC,$63.07,https://trade.jlcpcb.com/checkout/payMethod?systemType=order_pcb&calType=PAY&batchNum=W2026081004025223&spm=Jlcpcb.Confirmorder.1001
8,Stablizers,5,DELA KEY CO,$8.00,https://deltakeyco.com/en-ca/products/gdk-pre-lubed-pcb-mount-stabilizer?variant=54328625791317&country=CA&currency=CAD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Case,4(bottom - top - 2 knob cases),#Printing-Legion,$0,N/A
10,Keycaps,132,mechanicalkeyboards,$31.13,https://mechanicalkeyboards.com/products/ducky-white-blank-132-key-cherry-profile-pbt-keycap-set?pr_prod_strat=e5_desc&pr_rec_id=f6be8ea8f&pr_rec_pid=8933253939500&pr_ref_pid=8933252694316&pr_seq=uniform
TOTAL ESTIMATE COST,N/A,N/A,N/A,~$173.7 (before taxes & missing shipping fees), N/A
